SetNumber	PartID	Quantity	Colour	Category	DesignID	PartName	ImageURL	SetCount
31313-1	6024581	4	Black	System: Bricks, Special Circles And Angles	11145	Cable 250 Mm	http://cache.lego.com/media/bricks/4/1/6024581.jpg	2
31313-1	6024583	2	Black	System: Bricks, Special Circles And Angles	11146	Cable 350 Mm	http://cache.lego.com/media/bricks/4/1/6024583.jpg	2
31313-1	6024585	1	Black	System: Bricks, Special Circles And Angles	11147	Cabel 500 Mm	http://cache.lego.com/media/bricks/4/1/6024585.jpg	2
31313-1	4246901	2	Black	System: Tyres And Rims For Snap Ø3,2	50951	Tyre Low Narrow Ø14.58 X 6.24	http://cache.lego.com/media/bricks/5/1/4246901.jpg	109
31313-1	4184286	4	Black	System: Tyres And Rims For/To Snap Ø4,85 W. Cross	44309	Tyre Normal Wide Ø43,2 X 22	http://cache.lego.com/media/bricks/5/1/4184286.jpg	47
31313-1	4299389	4	Black	System: Tyres And Rims For/To Snap Ø4,85 W. Cross	56145	Rim Wide W.Cross 30/20	http://cache.lego.com/media/bricks/5/1/4299389.jpg	49
31313-1	4502834	2	Black	System: Wheel Base	53992	Caterpillar Track	http://cache.lego.com/media/bricks/5/1/4502834.jpg	11
31313-1	4111998	12	Black	Technic: Beams	32009	Double Angular Beam 3X7 45°	http://cache.lego.com/media/bricks/5/1/4111998.jpg	111
31313-1	4120017	8	Black	Technic: Beams	32140	Technic Ang. Beam 4X2 90 Deg	http://cache.lego.com/media/bricks/5/1/4120017.jpg	209
31313-1	4128593	4	Black	Technic: Beams	32348	Technic Angular Beam 4X4	http://cache.lego.com/media/bricks/5/1/4128593.jpg	68
31313-1	4140327	12	Black	Technic: Beams	32271	Technic Angular Beam 3X7	http://cache.lego.com/media/bricks/5/1/4140327.jpg	81
31313-1	4142135	10	Black	Technic: Beams	32316	Technic 5M Beam	http://cache.lego.com/media/bricks/5/1/4142135.jpg	193
31313-1	4142822	12	Black	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/4142822.jpg	160
31313-1	4142823	6	Black	Technic: Beams	32526	Technic Ang. Beam 3X5 90 Deg.	http://cache.lego.com/media/bricks/5/1/4142823.jpg	120
31313-1	4495935	6	Black	Technic: Beams	32524	Technic 7M Beam	http://cache.lego.com/media/bricks/5/1/4495935.jpg	136
31313-1	4522933	4	Black	Technic: Beams	41239	Technic 13M Beam	http://cache.lego.com/media/bricks/5/1/4522933.jpg	75
31313-1	4542573	4	Black	Technic: Beams	64871	Technic 15M Beam	http://cache.lego.com/media/bricks/5/1/4542573.jpg	115
31313-1	4552347	4	Black	Technic: Beams	60484	T-Beam 3X3 W/Hole Ø4.8	http://cache.lego.com/media/bricks/5/1/4552347.jpg	55
31313-1	4645732	8	Black	Technic: Beams	64289	Technic 9M Beam	http://cache.lego.com/media/bricks/5/1/4645732.jpg	63
31313-1	6006140	10	Black	Technic: Beams, Special	74695	Beam 1X2 W/Cross And Hole	http://cache.lego.com/media/bricks/5/1/6006140.jpg	74
31313-1	370626	9	Black	Technic: Connectors	3706	Cross Axle 6M	http://cache.lego.com/media/bricks/5/1/370626.jpg	692
31313-1	4121715	95	Black	Technic: Connectors	2780	Connector Peg W. Friction	http://cache.lego.com/media/bricks/5/1/4121715.jpg	1491
31313-1	4184169	6	Black	Technic: Connectors	6628	Ball With Friction Snap	http://cache.lego.com/media/bricks/5/1/4184169.jpg	276
31313-1	4141300	4	Black	Technic: Functional Elements	32293	Lt Steering Gear	http://cache.lego.com/media/bricks/5/1/4141300.jpg	33
31313-1	4530733	2	Black	Technic: Functional Elements	32005	Track Rod 6M,	http://cache.lego.com/media/bricks/5/1/4530733.jpg	24
31313-1	4629921	2	Black	Technic: Functional Elements	32005	Track Rod 6M,	http://cache.lego.com/media/bricks/5/1/4629921.jpg	18
31313-1	6024106	1	Black	Technic: Functional Elements	54271	Shooter	http://cache.lego.com/media/bricks/5/1/6024106.jpg	1
31313-1	6024109	1	Black	Technic: Functional Elements	53550	Magasine For Balls Ø16.5	http://cache.lego.com/media/bricks/5/1/6024109.jpg	7
31313-1	4177431	2	Black	Technic: Functional Elements, Gear Wheels And Racks	32270	Double Conical Wheel Z12 1M	http://cache.lego.com/media/bricks/5/1/4177431.jpg	216
31313-1	4248204	4	Black	Technic: Functional Elements, Gear Wheels And Racks	32072	Technic Angular Wheel	http://cache.lego.com/media/bricks/5/1/4248204.jpg	65
31313-1	4255563	5	Black	Technic: Functional Elements, Gear Wheels And Racks	32498	Double Conical Wheel Z36	http://cache.lego.com/media/bricks/5/1/4255563.jpg	32
31313-1	6093977	4	Black	Technic: Functional Elements, Gear Wheels And Racks	18575	Double Conical Wheel Z20 1M	http://cache.lego.com/media/bricks/5/1/6093977.jpg	35
31313-1	4143187	2	Black	Technic: Half Beams	6575	Comb Wheel	http://cache.lego.com/media/bricks/5/1/4143187.jpg	31
31313-1	4558692	1	Black	Technic: Half Beams, Special	87408	Beam 3M Ø4.85 W. Fork	http://cache.lego.com/media/bricks/5/1/4558692.jpg	29
31313-1	6028041	3	Black	Technic: Tyres And Rims, Special	2815	Tyre For Wedge-Belt Wheel	http://cache.lego.com/media/bricks/5/1/6028041.jpg	48
31313-1	4514554	4	Brick Yellow	Technic: Connectors	32556	3M Connector Peg	http://cache.lego.com/media/bricks/5/1/4514554.jpg	197
31313-1	4666999	3	Brick Yellow	Technic: Connectors	99008	Krydsaksel M/Stop 4M	http://cache.lego.com/media/bricks/5/1/4666999.jpg	28
31313-1	4514557	1	Brick Yellow	Technic: Functional Elements, Gear Wheels And Racks	32198	Bevel Gear Z20	http://cache.lego.com/media/bricks/5/1/4514557.jpg	36
31313-1	4565452	1	Brick Yellow	Technic: Functional Elements, Gear Wheels And Racks	6589	Conical Wheel Z12	http://cache.lego.com/media/bricks/5/1/4565452.jpg	122
31313-1	6031962	1	Brick Yellow	Technic: Functional Elements, Gear Wheels And Racks	32198	Bevel Gear Z20	http://cache.lego.com/media/bricks/5/1/6031962.jpg	28
31313-1	4206482	28	Bright Blue	Technic: Connectors	43093	Conn.Bush W.Fric./Crossale	http://cache.lego.com/media/bricks/5/1/4206482.jpg	1024
31313-1	4514553	38	Bright Blue	Technic: Connectors	6558	Connector Peg W. Friction 3M	http://cache.lego.com/media/bricks/5/1/4514553.jpg	464
31313-1	4100396	1	Bright Red	System: Rubbers And Strings	71321	V-Belt Ø24  / Clear Red	http://cache.lego.com/media/bricks/5/1/4100396.jpg	54
31313-1	4544143	1	Bright Red	System: Rubbers And Strings	85544	V-Belt Ø 24, Red	http://cache.lego.com/media/bricks/5/1/4544143.jpg	32
31313-1	4562805	4	Bright Red	Technic: Beams	64290	Technic 11M Beam	http://cache.lego.com/media/bricks/5/1/4562805.jpg	39
31313-1	4128594	2	Bright Red	Technic: Beams, Special	32291	Technic Cross Block 2X1	http://cache.lego.com/media/bricks/5/1/4128594.jpg	31
31313-1	4128598	17	Bright Red	Technic: Beams, Special	32184	Double Cross Block	http://cache.lego.com/media/bricks/5/1/4128598.jpg	41
31313-1	4175442	14	Bright Red	Technic: Beams, Special	42003	Cross Blok 3M	http://cache.lego.com/media/bricks/5/1/4175442.jpg	38
31313-1	4188298	8	Bright Red	Technic: Beams, Special	6536	Cross Block 90°	http://cache.lego.com/media/bricks/5/1/4188298.jpg	55
31313-1	4140806	10	Bright Red	Technic: Connectors	32054	2M Fric. Snap W/Cross Hole	http://cache.lego.com/media/bricks/5/1/4140806.jpg	170
31313-1	4142865	12	Bright Red	Technic: Connectors	32062	2M Cross Axle W. Groove	http://cache.lego.com/media/bricks/5/1/4142865.jpg	816
