SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"45560-1",4563044,1,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",74
"45560-1",4582792,2,"Black","Technic: Tyres And Rims, Special",57519,"Sprocket, Ø¸40,7","http://cache.lego.com/media/bricks/5/1/4582792.jpg",9
"45560-1",6014648,5,"Black","Technic: Tyres And Rims, Special",88323,"Track Element, 5X1,5","http://cache.lego.com/media/bricks/5/1/6014648.jpg",5
"45560-1",4207456,1,"Brick Yellow","Technic: Connectors",6538,"Cross Axle, Extension M/3 Ribs","http://cache.lego.com/media/bricks/5/1/4207456.jpg",30
"45560-1",4514554,14,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",197
"45560-1",4666579,6,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",542
"45560-1",4666999,2,"Brick Yellow","Technic: Connectors",99008,"Krydsaksel M/Stop 4M","http://cache.lego.com/media/bricks/5/1/4666999.jpg",28
"45560-1",6013938,6,"Brick Yellow","Technic: Connectors",32002,"1 1/2 M Connecting Bush","http://cache.lego.com/media/bricks/5/1/6013938.jpg",66
"45560-1",4514557,1,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",32198,"Bevel Gear Z20","http://cache.lego.com/media/bricks/5/1/4514557.jpg",36
"45560-1",4565452,3,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",6589,"Conical Wheel Z12","http://cache.lego.com/media/bricks/5/1/4565452.jpg",122
"45560-1",6031962,1,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",32198,"Bevel Gear Z20","http://cache.lego.com/media/bricks/5/1/6031962.jpg",28
"45560-1",70904,2,"Bright Blue","System: Rubbers And Strings",70904,"V-Belt Ø26, Blue","http://cache.lego.com/media/bricks/5/1/70904.jpg",51
"45560-1",4544147,2,"Bright Blue","System: Rubbers And Strings",85545,"V-Belt Ø26, Blue","http://cache.lego.com/media/bricks/5/1/4544147.jpg",19
"45560-1",4206482,57,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1024
"45560-1",4514553,33,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",464
"45560-1",4100396,2,"Bright Red","System: Rubbers And Strings",71321,"V-Belt Ø24  / Clear Red","http://cache.lego.com/media/bricks/5/1/4100396.jpg",54
"45560-1",4544143,2,"Bright Red","System: Rubbers And Strings",85544,"V-Belt Ø 24, Red","http://cache.lego.com/media/bricks/5/1/4544143.jpg",32
"45560-1",4141270,4,"Bright Red","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4141270.jpg",51
"45560-1",4153718,2,"Bright Red","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4153718.jpg",66
"45560-1",6022750,2,"Bright Red","Technic: Beams W/ Shapes",11946,"Right Panel 2X5 (N0 21)","http://cache.lego.com/media/bricks/5/1/6022750.jpg",7
"45560-1",6022752,2,"Bright Red","Technic: Beams W/ Shapes",11947,"Left Panel 2X5 (Nr 22)","http://cache.lego.com/media/bricks/5/1/6022752.jpg",7
"45560-1",4142865,22,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",816
"45560-1",4270473,1,"Bright Red","Technic: Connectors",6641,"Technic Change-Over Catch","http://cache.lego.com/media/bricks/5/1/4270473.jpg",31
"45560-1",4513174,4,"Bright Red","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4513174.jpg",94
"45560-1",6099696,1,"Bright Red","Technic: Connectors",19437,"Technic Change-Over Catch","http://cache.lego.com/media/bricks/5/1/6099696.jpg",12
"45560-1",4185661,2,"Bright Red","Technic: Decoration Elements",41669,"Bion. Eye","http://cache.lego.com/media/bricks/5/1/4185661.jpg",20
"45560-1",4278957,1,"Bright Red","Technic: Functional Elements",6539,"Driving Ring","http://cache.lego.com/media/bricks/5/1/4278957.jpg",28
"45560-1",6036424,28,"Bright Red","Technic: Tyres And Rims, Special",14149,"Rubber Attachment For Track Element","http://cache.lego.com/media/bricks/5/1/6036424.jpg",1
"45560-1",70905,2,"Bright Yellow","System: Rubbers And Strings",70905,"V-Belt Ø33, Yellow","http://cache.lego.com/media/bricks/5/1/70905.jpg",50
"45560-1",4544151,2,"Bright Yellow","System: Rubbers And Strings",85546,"V-Belt Ø33, Yellow","http://cache.lego.com/media/bricks/5/1/4544151.jpg",24
"45560-1",4239601,16,"Bright Yellow","Technic: Connectors",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/1/4239601.jpg",267
"45560-1",6005755,5,"Dark Brown","Technic: Connectors",10288,"3 Branch Crosshole W. Hole","http://cache.lego.com/media/bricks/5/1/6005755.jpg",28
